Gene,SRR10398412,SRR10398413,SRR10398414,SRR10398415,SRR10398416,SRR10398417,SRR10398418,SRR10398419,SRR10398420
EBG00001435404,646.8767,540.68536,492.03915,347.16547,422.32983,308.2599,246.01018,340.2967,448.21274
EBG00001435405,72385.86,66279.305,36917.95,0,44.558685,32.169884,28076.125,0,88065.01
EBG00001435406,4349936,158055.7,181602.44,98825.664,179484.27,94919.49,109720.62,194889.22,151823.67
EBG00001435407,38.810585,18.883455,7.262898,15.5424385,19.507635,24.409946,13.742016,32.752346,26.626724
EBG00001435408,560.33344,322.99435,351.20224,181.69478,161.6934,247.72816,212.20918,183.01387,191.80135
EBG00001435409,0,0,0,0,0,0,99.04687,0,0
EBG00001435410,0,0,0,0,4.5887713,0,0,0,0
EBG00001435411,311.829,229.6269,595.06854,114.51078,219.24367,158.05519,187.41487,199.03015,168.01337
EBG00001435412,954.8207,618.6696,503.2342,180.79747,227.19164,440.57483,255.50209,247.3199,194.40283
EBG00001435413,981.31635,654.0038,761.07874,0,14.009816,0.000453156,19.23288,0,0
EBG00001435414,0,0,0,0,0,0,0,0,0
EBG00001435415,0,0,0,0,0,0,0,0,0
EBG00001435416,416.6079,328.01395,403.135,158.00647,239.0688,385.22678,147.94838,306.53183,230.00809
EBG00001435417,3306.8372,2610.6624,10107.564,5346.0786,826.6197,9358.568,265.86957,1401.6896,8639.859
EBG00001435418,0,0,0,0,0,0,0,0,0
EBG00001435419,369.76797,328.94498,42.752644,92.279106,173.90474,248.71492,27.09919,180.20277,142.2412
EBG00001435420,0,0,0,0,0,0,0,0,0
EBG00001435421,6.5692844,5.496061,2.2657788,0,6.657216,3.2629185,0,6.6996,6.6683683
EBG00001435422,15875.116,1369.2986,661.5459,0,333.43985,57.22364,0,672.17883,0
EBG00001435423,362.19162,263.30408,273.84076,84.704185,143.54857,198.96848,119.67699,129.42746,89.69299
EBG00001435424,23.691132,14.738368,6.2451816,27.07655,10.265544,19.375645,15.243995,18.76004,37.810448
EBG00001435425,0,0,40.682896,0,0,0,0,0,0
EBG00001435426,0,0,0,0,0,0,0,0,0
EBG00001435427,1135.6409,643.8611,724.81573,489.15018,402.7662,813.3885,460.015,502.87946,476.09323
EBG00001435428,109.8904,49.146008,29.887653,25.84881,20.319593,12.71675,18.11257,26.405941,24.126667
