Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA0001,dnaA,(RefSeq) chromosome replication initiator DnaA,Q9I7C5,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275],NA,COG0593,,Two-component system
PA0002,dnaN,(RefSeq) DNA polymerase III subunit beta,Q9I7C4,cytoplasm [GO:0005737]; DNA polymerase III complex [GO:0009360]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA strand elongation involved in DNA replication [GO:0006271],NA,COG0592,,"DNA replication, Mismatch repair, Homologous recombination"
PA0003,recF,(RefSeq) DNA replication and repair protein RecF,Q9I7C3,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; single-stranded DNA binding [GO:0003697]; DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302]; SOS response [GO:0009432],NA,COG1195,,Homologous recombination
PA0004,NA,NA,Q9I7C2,"chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-dependent DNA replication [GO:0006261]",NA,NA,NA,NA
PA0005,lptA,(RefSeq) lysophosphatidic acid acyltransferase,Q9I7C1,integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; lysophosphatidic acid acyltransferase activity [GO:0042171]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654],NA,NA,NA,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
PA0006,,"(RefSeq) D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",Q9I7C0,"cytoplasm [GO:0005737]; D,D-heptose 1,7-bisphosphate phosphatase activity [GO:0034200]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]",NA,NA,NA,"Lipopolysaccharide biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
PA0007,NA,NA,Q9I7B9,cytochrome-c peroxidase activity [GO:0004130]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872],NA,NA,NA,NA
PA0008,glyS,(RefSeq) glycine--tRNA ligase subunit beta,Q9I7B8,cytosol [GO:0005829]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426],NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA0009,glyQ,(RefSeq) glycine--tRNA ligase subunit alpha,Q9I7B7,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426],NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA0010,tag,(RefSeq) DNA-3-methyladenine glycosidase I,Q9I7B6,DNA-3-methyladenine glycosylase activity [GO:0008725]; base-excision repair [GO:0006284]; DNA dealkylation involved in DNA repair [GO:0006307],NA,COG2818,,Base excision repair
